POINT_ID	SLOPE	NORTHIN_M	EASTING_M	SRTM_M	NGDC_M	LAT	LON	COWCOD
43124	lower slope	24000	559500	-1479	-1554	32.16367	-119.80315	
43125	lower slope	24000	561500	-1207	-1344	32.16337	-119.78196	
43126	lower slope	24000	563500	-1224	-1285	32.16306	-119.76076	
43114	lower slope	26000	555500	-1545	-1552	32.18230	-119.84519	
43115	lower slope	26000	557500	-1573	-1446	32.18200	-119.82399	
43116	lower slope	26000	559500	-1335	-1364	32.18170	-119.80279	
43117	lower slope	26000	561500	-1246	-1279	32.18140	-119.78160	
43118	lower slope	26000	563500	-1266	-1304	32.18109	-119.76040	
43119	lower slope	26000	565500	-1270	-1352	32.18078	-119.73920	
43120	lower slope	26000	567500	-1372	-1398	32.18047	-119.71801	
43121	lower slope	26000	569500	-1485	-1497	32.18015	-119.69681	
43122	lower slope	26000	571500	-1483	-1485	32.17983	-119.67562	
43123	lower slope	26000	573500	-9999	-9999	32.17950	-119.65442	
43097	lower slope	28000	551500	-1580	-1535	32.20090	-119.88725	
43098	lower slope	28000	553500	-1563	-1433	32.20061	-119.86604	
43099	lower slope	28000	555500	-1545	-1402	32.20032	-119.84484	
43100	lower slope	28000	557500	-9999	-1409	32.20003	-119.82364	
43101	lower slope	28000	559500	-1481	-1272	32.19973	-119.80244	
43102	lower slope	28000	561500	-1390	-1313	32.19942	-119.78124	
43103	lower slope	28000	563500	-1335	-1348	32.19912	-119.76004	
43104	lower slope	28000	565500	-1421	-1438	32.19881	-119.73884	
43105	lower slope	28000	567500	-1435	-1261	32.19849	-119.71764	
43106	lower slope	28000	569500	-1460	-1491	32.19817	-119.69644	
43107	lower slope	28000	571500	-1443	-1508	32.19785	-119.67524	
43108	lower slope	28000	573500	-1561	-1575	32.19753	-119.65404	
43109	lower slope	28000	575500	-1566	-1569	32.19720	-119.63284	
43110	lower slope	28000	577500	-1582	-1593	32.19687	-119.61164	
43111	lower slope	28000	579500	-9999	-9999	32.19653	-119.59044	
43112	lower slope	28000	581500	-9999	-9999	32.19620	-119.56925	
43113	lower slope	28000	583500	-1591	-1537	32.19585	-119.54805	
43075	lower slope	30000	551500	-1404	-1313	32.21893	-119.88691	
43076	lower slope	30000	553500	-1467	-1407	32.21864	-119.86570	
43077	lower slope	30000	555500	-1465	-1414	32.21835	-119.84450	
43078	lower slope	30000	557500	-1451	-1391	32.21805	-119.82329	
43079	lower slope	30000	559500	-1464	-1392	32.21775	-119.80208	
43080	lower slope	30000	561500	-9999	-1592	32.21745	-119.78088	
43081	lower slope	30000	563500	-9999	-1574	32.21714	-119.75967	
43082	lower slope	30000	565500	-1554	-1491	32.21683	-119.73847	
43083	lower slope	30000	567500	-1456	-1305	32.21652	-119.71727	
43084	lower slope	30000	569500	-1344	-1402	32.21620	-119.69606	
43085	lower slope	30000	571500	-1417	-1422	32.21588	-119.67486	
43086	lower slope	30000	573500	-1437	-1463	32.21555	-119.65366	
43087	lower slope	30000	575500	-1518	-1505	32.21523	-119.63245	
43088	lower slope	30000	577500	-1535	-1541	32.21489	-119.61125	
43089	lower slope	30000	579500	-1576	-1584	32.21456	-119.59005	
