"model","converged","all_ok","aic","hessian_ok","eigen_values_ok","nlminb_ok","range_ok","gradients_ok","se_magnitude_ok","se_na_ok","sigmas_ok","delta"
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15873.3324149842,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15875.1014890999,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.76907411567663
"avNASC-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15875.9770989139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.64468392966228
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15876.6132945879,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3.28087960362245
"avNASC-sm_day-sm_depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15877.101489304,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3.76907431975269
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15922.6780493975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,49.3456344132428
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15924.6715619402,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,51.3391469559647
"avNASC-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15925.2604829029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51.9280679186522
"avNASC-sm_day-depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15926.671561751,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,53.339146766757
"avNASC-day-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15931.4586590117,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58.126244027455
