"model","converged","all_ok","aic","hessian_ok","eigen_values_ok","nlminb_ok","range_ok","gradients_ok","se_magnitude_ok","se_na_ok","sigmas_ok","delta"
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15873.332414985,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0
"avNASC-base-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15875.9770989139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.64468392894923
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15922.6780493975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,49.345634412497
"avNASC-day-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15931.4586590117,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58.1262440267383
"avNASC-sm_day-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15933.4586595707,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,60.1262445857719
"avNASC-base-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15935.5103314126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62.1779164276122
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16022.7800947407,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,149.447679755738
"avNASC-sm_day-sm_depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16024.0470399712,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150.714624986244
"avNASC-base-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16039.0670317421,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,165.73461675719
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16066.5546233958,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,193.222208410809
"avNASC-day-no_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16077.9467446797,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,204.614329694754
"avNASC-sm_day-no_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16079.0052857896,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,205.672870804608
"avNASC-base-no_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16090.8904313952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,217.558016410248
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",FALSE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
