"model","converged","all_ok","aic","hessian_ok","eigen_values_ok","nlminb_ok","range_ok","gradients_ok","se_magnitude_ok","se_na_ok","sigmas_ok","delta"
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15873.332414985,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0
"avNASC-base-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15875.9770989139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.64468392894923
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15922.6780493975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,49.345634412497
"avNASC-day-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15931.4586590117,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58.1262440267383
"avNASC-sm_day-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15933.4586595707,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,60.1262445857719
"avNASC-base-no_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15935.5103314126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62.1779164276122
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",FALSE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",FALSE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
